상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드_명,행정동_코드_명,경도,위도
3110230,장안현대홈타운1차아파트,206324,452165,동대문구,장안2동,127.07158379588344,37.56900286007882
3110231,장안교,206478,453482,동대문구,장안2동,127.07333861604,37.58086788021461
3110232,동대부고,206490,453086,동대문구,장안2동,127.07347096415802,37.577299862320345
3110223,군자초등학교,205576,451597,동대문구,장안1동,127.06311258247126,37.56389003637337
3110224,외대앞역 2번,205611,454967,동대문구,휘경1동,127.06353452878629,37.59425330406559
3110225,촬영소사거리,205617,452236,동대문구,답십리2동,127.06358153868928,37.569647147721206
3110210,서울시립대,204784,454008,동대문구,전농1동,127.05416397669767,37.585617460347805
3110211,전곡마을마당공원,204828,453365,동대문구,전농1동,127.05465790447084,37.5798238453243
3110212,답십리초등학교,204987,452276,동대문구,답십리1동,127.05645053947013,37.570011170999635
3110213,청량초등학교,205004,454831,동대문구,이문1동,127.05666041481288,37.59303145545398
3110214,경희대후문,204987,455329,동대문구,이문1동,127.056471314137,37.59751848344088
3110215,회기역 1번,205156,454641,동대문구,휘경1동,127.05838017647953,37.59131873274638
3110216,전농중학교,205156,453263,동대문구,전농2동,127.0583704812324,37.57890305419834
3110217,자동차부품상가,205207,451743,동대문구,답십리2동,127.05893705293438,37.56520764897779
3110218,답십리사거리,205138,452341,동대문구,답십리2동,127.05816024441098,37.57059598801341
3110219,삼육보건대학교,205315,454241,동대문구,휘경2동,127.06017759350853,37.587713860831755
3110220,외대앞역 1번,205403,455074,동대문구,이문1동,127.06118009171786,37.59521860885541
3110221,의릉,205397,456047,성북구,석관동,127.06111932250863,37.60398528040108
3110222,회기역 2번,205428,454564,동대문구,휘경1동,127.06145939648698,37.59062340568325
3110226,장안1동주민센터,205884,452160,동대문구,장안1동,127.06660322921046,37.568960725192056
3110227,답십리공원,205920,452959,동대문구,답십리2동,127.06701717715495,37.57615943992586
3110254,오거리공원,207331,453019,중랑구,면목7동,127.08299094516109,37.57668988738031
3110255,상봉역 4번,207311,454906,중랑구,상봉2동,127.0827833599205,37.593691768235416
3110233,중랑역 1번,206528,455158,중랑구,중화2동,127.07391960683593,37.59596815056542
3110234,중랑역 4번,206502,454920,중랑구,중화2동,127.07362308419515,37.59382397632805
3110235,세화어린이공원,206594,455445,중랑구,중화2동,127.07466953919862,37.598553522824396
3110236,신묵초등학교,206616,456591,중랑구,묵2동,127.07492901956759,37.60887870447146
3110237,메가박스 상봉,206601,454652,중랑구,면목2동,127.07474165969481,37.591408615387756
3110238,배꽃어린이공원,206668,456017,중랑구,중화2동,127.07551271298087,37.603706651767816
3110239,중랑역 2번,206763,455188,중랑구,중화2동,127.07658089696211,37.59623675120172
3110243,중랑노인종합복지관,206888,454287,중랑구,면목2동,127.0779878628827,37.58811789372319
3110244,중화역 4번,206912,455985,중랑구,중화2동,127.07827562121437,37.60341653482143
3110245,KB국민은행 중화동지점,206956,455282,중랑구,중화2동,127.0787672252466,37.59708224403993
3110246,월드순복음교회,206971,454832,중랑구,상봉2동,127.07893279696668,37.593027672289224
3110247,먹골역 1번,207001,456738,중랑구,묵1동,127.07929071096504,37.610200308625146
3110248,먹골파출소,207107,457297,중랑구,묵1동,127.08049665488883,37.61523601878214
3110249,중화역 1번,207071,456080,중랑구,중화1동,127.08007714819284,37.60427126674587
3110250,화랑대역 7번,207225,457577,중랑구,묵1동,127.08183593250513,37.61775786420861
3110240,태릉시장 특화거리,206782,455390,중랑구,중화2동,127.07679791399993,37.598056612126726
3110241,먹골역 5번,206829,456519,중랑구,묵2동,127.07734066163741,37.60822843634927
3110242,면목5동주민센터,206907,453904,중랑구,면목5동,127.07819937597111,37.58466695176947
3110251,장안중학교,207245,455571,중랑구,중화1동,127.08204261261062,37.59968387623888
3110252,장안제일시장,207210,453972,중랑구,면목5동,127.0816305342528,37.58527730400473
3110253,중곡초등학교,207294,452626,중랑구,면목4동,127.08256817561062,37.57314927575237
3110277,러스크서울병원,209068,455483,중랑구,망우본동,127.10268520613624,37.598874850037376
3110278,망우본동주민센터,209142,455775,중랑구,망우본동,127.10352681954076,37.60150500683647
3110272,신내1동주민센터,208691,456291,중랑구,신내1동,127.09842568909319,37.60615847906632
3110273,장스여성병원,208719,455672,중랑구,신내1동,127.09873541769939,37.600581092452465
3110256,면목2동체육관,207297,454482,중랑구,면목2동,127.0826206130532,37.589871676851374
3110257,상봉역 7번,207583,455462,중랑구,상봉1동,127.08586900294162,37.598699074518215
3110258,면동초등학교,207582,454086,중랑구,면목본동,127.08584343751289,37.58630144712347
3110259,사가정역 1번,207605,453638,중랑구,면목3?8동,127.08609919438236,37.582264812341826
3110260,면목역 3번,207615,454450,중랑구,면목본동,127.08622084620522,37.58958078442301
3110261,사가정역 4번,207796,453176,중랑구,면목7동,127.08825666448381,37.57810062863918
3110262,상봉역 3번,207850,454983,중랑구,상봉2동,127.08888734246219,37.5943810926847
