상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,평균_점포_수,평균_점포당_월매출,평균_총_유동인구,평균_2030비율,평균_폐업비율,평균_창업추천점수,추천순위
3120167,고속터미널(고속터미널역),CS200037,노래방,5.75,9520028.763888888,671058.0,28.261923634061887,9.166666666666666,40.31419397697077,14683
3110994,개포고등학교,CS300001,슈퍼마켓,3.0,12121659.888888888,597738.0,20.52789014584985,0.0,40.3132860938884,14684
3110488,우리은행응암동지점,CS100001,한식음식점,9.75,11627681.793518519,318412.75,29.028142242586522,2.7777777777777777,40.312621789193976,14685
3110713,구로보건소,CS200005,스포츠 강습,7.75,1084632.2336309524,2607241.75,29.8943306095558,6.696428571428571,40.31168438145851,14686
3130110,면목골목시장(면목시장),CS300022,화장품,3.0,14649704.166666668,364146.0,23.47205644875556,0.0,40.30941836433422,14687
3120110,목동역 8번출구,CS300022,화장품,15.25,4496011.868799603,1223226.5,28.041472505015243,3.4523809523809526,40.30636994390316,14688
3130271,남성역골목시장,CS200037,노래방,4.0,3836795.395833333,542859.25,35.51203419593419,0.0,40.30507085916741,14689
3111026,문정역 2번,CS300028,화초,4.0,1781029.8749999998,938117.25,35.654335320026476,0.0,40.304207263064654,14690
3110499,연가초등학교,CS200028,미용실,11.0,233789.69696969696,1834282.0,33.00668431550898,0.0,40.30248745202244,14691
3130198,아현시장,CS300027,섬유제품,3.0,9696737.138888888,377183.5,28.976319166513512,0.0,40.30232506643047,14692
3110383,덕성여대시반거리,CS100002,중식음식점,3.25,14972341.32638889,85507.5,30.187062645308213,8.333333333333332,40.30013286093888,14693
3130063,신금호역 골목형상점가,CS100001,한식음식점,20.5,20728889.028968252,121669.75,25.73408640621154,2.5,40.29790374963094,14694
3120232,송파나루역,CS200024,스포츠클럽,7.25,4136372.711309524,411621.25,41.15147118962178,3.571428571428571,40.29774874520224,14695
3110468,응암역 3번,CS300033,철물점,6.75,796603.6924603174,2308719.25,27.426377663490545,0.0,40.297534691467376,14696
3110530,아현역 1번,CS200028,미용실,3.0,10000000.0,156423.0,31.076025382738347,0.0,40.296575140242105,14697
3120161,방배동가구거리(사당동가구거리),CS100001,한식음식점,8.75,13694404.105324073,392621.0,23.804377335267024,0.0,40.29564511366992,14698
3120246,길동역,CS300019,의료기기,24.666666666666668,26463.292962962965,4432008.666666667,34.730956592044905,4.055555555555555,40.290296230685954,14699
3110206,텃골근린공원,CS100001,한식음식점,9.75,4363916.830555555,1189069.0,28.941194427050004,5.0,40.28898730439917,14700
3120216,경기고교사거리(경기고교앞사거리),CS200006,일반의원,10.5,7897082.810606061,177861.25,33.60895432440314,0.0,40.285459108355475,14701
